Epoch: [1/20], Loss: 0.1808, ValAcc: 97.15%, Time: 227.32 s
Epoch: [2/20], Loss: 0.0751, ValAcc: 97.54%, Time: 226.89 s
Epoch: [3/20], Loss: 0.0537, ValAcc: 98.00%, Time: 226.90 s
Epoch: [4/20], Loss: 0.0598, ValAcc: 98.27%, Time: 226.71 s
Epoch: [5/20], Loss: 0.1214, ValAcc: 98.46%, Time: 226.72 s
Epoch: [6/20], Loss: 0.0676, ValAcc: 98.01%, Time: 227.23 s
Epoch: [7/20], Loss: 0.0874, ValAcc: 98.55%, Time: 226.90 s
Epoch: [8/20], Loss: 0.0300, ValAcc: 98.52%, Time: 226.84 s
Epoch: [9/20], Loss: 0.1741, ValAcc: 98.66%, Time: 226.94 s
Epoch: [10/20], Loss: 0.0146, ValAcc: 98.55%, Time: 226.81 s
Epoch: [11/20], Loss: 0.0034, ValAcc: 98.59%, Time: 226.70 s
Epoch: [12/20], Loss: 0.0474, ValAcc: 98.66%, Time: 227.39 s
Epoch: [13/20], Loss: 0.0627, ValAcc: 98.51%, Time: 227.44 s
Epoch: [14/20], Loss: 0.1115, ValAcc: 98.47%, Time: 228.37 s
Epoch: [15/20], Loss: 0.0180, ValAcc: 98.72%, Time: 227.89 s
Epoch: [16/20], Loss: 0.0118, ValAcc: 98.56%, Time: 227.67 s
Epoch: [17/20], Loss: 0.0858, ValAcc: 98.59%, Time: 227.88 s
Epoch: [18/20], Loss: 0.0116, ValAcc: 98.62%, Time: 228.13 s
Epoch: [19/20], Loss: 0.0764, ValAcc: 98.72%, Time: 227.95 s
Epoch: [20/20], Loss: 0.0352, ValAcc: 98.73%, Time: 228.11 s
Final Test Accuracy: 98.90%
